filename,title,author,license,license_url
dog.jpg,Dog,PixaBay from Pexels,CC0,https://creativecommons.org/public-domain/cc0/
sunflower.jpg,Sunflower,Max Andrey,CC0,https://creativecommons.org/public-domain/cc0/
HeLa.jpg,HeLa cells,8x57is on Wikipedia,CC-BY-SA,https://creativecommons.org/licenses/by-sa/4.0/
